Date,Exercise,Weight (kg),Reps,Sets
2023-08-17,Cable Row (Narrow Grip),13,8.0,1.0
2023-08-17,Cable Row (Narrow Grip),13,8.0,1.0
2023-08-17,Cable Row (Narrow Grip),17,8.0,1.0
2023-08-17,Cable Row (Narrow Grip),17,8.0,1.0
2023-08-17,Cable Row (Narrow Grip),20,4.0,1.0
2023-08-17,Bicep Curl,5,8.0,1.0
2023-08-17,Bicep Curl,8,5.0,1.0
2023-08-17,Bicep Curl,8,5.0,1.0
2023-08-17,Bicep Curl,8,5.0,1.0
2023-08-19,Bench Press,30,8.0,1.0
2023-08-19,Bench Press,40,8.0,1.0
2023-08-19,Bench Press,45,5.0,1.0
2023-08-19,Bench Press,50,1.0,1.0
2023-08-19,Bench Press,50,1.0,1.0
2023-08-19,Seated Shoulder Press,10,10.0,1.0
2023-08-19,Seated Shoulder Press,12,8.0,1.0
2023-08-19,Seated Shoulder Press,12,8.0,1.0
2023-08-19,Seated Shoulder Press,12,3.0,1.0
2023-08-19,Seated Shoulder Press,10,6.0,1.0
2023-08-19,Namaste Press,5,8.0,1.0
2023-08-19,Namaste Press,5,8.0,1.0
2023-08-19,Namaste Press,10,8.0,1.0
2023-08-19,Single Arm French Press,4,8.0,1.0
2023-08-19,Single Arm French Press,6,4.0,1.0
2023-08-19,Tricep Extension (Bar),25,10.0,1.0
2023-08-19,Tricep Extension (Bar),25,5.0,1.0
2023-08-19,Cable Lateral Raise (One Armed),25,6.0,1.0
2023-08-19,Cable Lateral Raise (One Armed),75,3.0,1.0
2023-08-19,Cable Lateral Raise (One Armed),75,5.0,1.0
2023-08-21,Deadlifts,50,8.0,1.0
2023-08-21,Deadlifts,60,5.0,1.0
2023-08-21,Deadlifts,70,3.0,1.0
2023-08-21,Deadlifts,80,2.0,1.0
2023-08-21,Deadlifts,90,1.0,1.0
2023-08-22,Squats,30,8.0,1.0
2023-08-22,Squats,35,8.0,1.0
2023-08-22,Squats,40,5.0,1.0
2023-08-22,Squats,45,3.0,1.0
2023-08-22,Leg Curl,5,8.0,1.0
2023-08-22,Leg Curl,5,5.0,1.0
2023-08-22,Leg Curl,5,6.0,1.0
2023-08-22,Calf Machine,10,8.0,1.0
2023-08-22,Calf Machine,10,8.0,1.0
2023-08-22,Calf Machine,10,8.0,1.0
2023-08-24,Bench Press,30,8.0,1.0
2023-08-24,Bench Press,35,8.0,1.0
2023-08-24,Bench Press,40,7.0,1.0
2023-08-24,Bench Press,45,8.0,1.0
2023-08-24,Bench Press,50,1.0,1.0
2023-08-24,Incline Dumbbell Bench Press,15,8.0,1.0
2023-08-24,Incline Dumbbell Bench Press,15,8.0,1.0
2023-08-24,Incline Dumbbell Bench Press,15,8.0,1.0
2023-08-24,Skull Crusher (Small Barbell),15,8.0,1.0
2023-08-24,Skull Crusher (Small Barbell),20,8.0,1.0
2023-08-24,Skull Crusher (Small Barbell),20,6.0,1.0
2023-08-24,Shoulder Press (Pulley Machine),20,8.0,1.0
2023-08-24,Shoulder Press (Cog Machine),5,8.0,1.0
2023-08-24,Shoulder Press (Cog Machine),10,8.0,1.0
2023-08-24,Shoulder Press (Cog Machine),15,8.0,1.0
2023-08-27,Lat Pull Down,10,10.0,1.0
2023-08-27,Lat Pull Down,20,10.0,1.0
2023-08-27,Lat Pull Down,30,7.0,1.0
2023-08-27,Lat Pull Down,25,10.0,1.0
2023-08-27,Deadlifts,50,10.0,1.0
2023-08-27,Deadlifts,60,8.0,1.0
2023-08-27,Deadlifts,80,3.0,1.0
2023-08-27,Deadlifts,90,1.0,1.0
2023-08-27,Deadlifts,90,1.0,1.0
2023-08-27,Hammer Curls,8,6.0,1.0
2023-08-27,Hammer Curls,6,10.0,1.0
2023-08-27,Hammer Curls,6,10.0,1.0
2023-08-27,Hammer Curls,6,10.0,1.0
2023-08-27,Rows,20,5.0,1.0
2023-08-27,Rows,20,5.0,1.0
2023-08-27,Rows,20,5.0,1.0
2023-08-27,"Bicep Curl (Cable, Narrow Grip)",18,6.0,1.0
2023-08-29,Squats,30,8.0,1.0
2023-08-29,Squats,40,7.0,1.0
2023-08-29,Squats,50,2.0,1.0
2023-08-29,Lunges,20,,
2023-08-29,Romanian Deadlift,30,10.0,1.0
2023-08-29,Romanian Deadlift,70,3.0,1.0
2023-08-29,Romanian Deadlift,50,8.0,1.0
2023-08-29,Romanian Deadlift,50,8.0,1.0
2023-08-29,Calf Raises (Smith Machine),50,8.0,1.0
2023-08-29,Calf Raises (Smith Machine),50,8.0,1.0
2023-08-30,Dumbbell Bench Press,15,10.0,1.0
2023-08-30,Dumbbell Bench Press,18,6.0,1.0
2023-08-30,Dumbbell Bench Press,18,8.0,1.0
2023-08-30,Dumbbell Bench Press,16,6.0,1.0
2023-08-30,Shoulder Press,20,8.0,1.0
2023-08-30,Shoulder Press,5,8.0,1.0
2023-08-30,Shoulder Press,25,8.0,1.0
2023-08-30,Shoulder Press,5,3.0,1.0
2023-09-01,Deadlifts,40,10.0,1.0
2023-09-01,Deadlifts,60,10.0,1.0
2023-09-01,Deadlifts,70,10.0,1.0
2023-09-01,Deadlifts,60,12.0,1.0
2023-09-01,Alternate Dumbbell Rows,5,8.0,1.0
2023-09-01,Alternate Dumbbell Rows,5,8.0,1.0
2023-09-01,Alternate Dumbbell Rows,5,8.0,1.0
2023-09-01,Shoulder Raises,15,10.0,1.0
2023-09-01,Shoulder Raises,15,10.0,1.0
2023-09-01,Shoulder Raises,18,10.0,1.0
2023-09-01,Alternating Sitting Bicep Curl,5,9.0,1.0
2023-09-01,Alternating Sitting Bicep Curl,7,7.0,1.0
2023-09-01,Alternating Sitting Bicep Curl,7,5.0,1.0
2023-09-04,Squats,20,12.0,1.0
2023-09-04,Squats,30,12.0,1.0
2023-09-04,Squats,40,12.0,1.0
2023-09-04,Squats,45,8.0,1.0
2023-09-04,Squats,30,14.0,1.0
2023-09-04,Hip Adductor Out,30,12.0,1.0
2023-09-04,Hip Adductor Out,45,12.0,1.0
2023-09-04,Hip Adductor In,30,12.0,1.0
2023-09-04,Hip Adductor In,45,12.0,1.0
2023-09-04,Linear Leg Press,20,12.0,1.0
2023-09-04,Linear Leg Press,30,6.0,1.0
2023-09-05,Bench Press,30,12.0,1.0
2023-09-05,Bench Press,40,10.0,1.0
2023-09-05,Bench Press,45,6.0,1.0
2023-09-05,Bench Press,5,8.0,1.0
2023-09-05,Arnold Press,8,12.0,1.0
2023-09-05,Arnold Press,12,6.0,1.0
2023-09-05,Arnold Press,12,4.0,1.0
2023-09-05,Arnold Press,10,6.0,1.0
2023-09-05,Arnold Press,10,6.0,1.0
2023-09-05,Cable Crossover,5,6.0,1.0
2023-09-05,Cable Crossover,5,6.0,1.0
2023-09-05,Cable Crossover On Knees,5,6.0,1.0
2023-09-05,Overhead Tricep Extensions,8,8.0,1.0
2023-09-05,Overhead Tricep Extensions,11,4.0,1.0
2023-09-05,Tricep Extensions,11,8.0,1.0
2023-09-05,Tricep Extensions,11,8.0,1.0
2023-09-07,Deadlifts,50,5.0,1.0
2023-09-07,Deadlifts,60,5.0,1.0
2023-09-07,Deadlifts,70,5.0,1.0
2023-09-07,Deadlifts,80,5.0,1.0
2023-09-07,Deadlifts,90,2.0,1.0
2023-09-07,Raised Deadlifts,50,8.0,1.0
2023-09-07,Raised Deadlifts,50,8.0,1.0
2023-09-07,Crossover Pulls (Cables),25,10.0,1.0
2023-09-07,Crossover Pulls (Cables),25,10.0,1.0
2023-09-07,Crossover Pulls (Cables),5,10.0,1.0
2023-09-07,T Bar Row,20,4.0,1.0
2023-09-07,T Bar Row,10,8.0,1.0
2023-09-07,T Bar Row,10,10.0,1.0
2023-09-07,Hammer Curls,7,8.0,1.0
2023-09-07,Hammer Curls,7,8.0,1.0
2023-09-07,Hammer Curls,7,8.0,1.0
2023-09-07,Back Rows,25,5.0,1.0
2023-09-07,Back Rows,25,4.0,1.0
2023-09-11,Squats,20,12.0,1.0
2023-09-11,Squats,30,8.0,1.0
2023-09-11,Squats,40,8.0,1.0
2023-09-11,Squats,40,8.0,1.0
2023-09-11,Squats,40,8.0,1.0
2023-09-11,Lunges,20,,
2023-09-11,Seated Calf,10,8.0,1.0
2023-09-11,Seated Calf,10,8.0,1.0
2023-09-11,Seated Calf,10,8.0,1.0
2023-09-11,Seated Calf,10,8.0,1.0
2023-09-12,Incline Bench Press,40,6.0,1.0
2023-09-12,Incline Bench Press,40,6.0,1.0
2023-09-12,Incline Bench Press,35,10.0,1.0
2023-09-12,Incline Bench Press,35,8.0,1.0
2023-09-12,Shoulder Press (Dumbbell),10,10.0,1.0
2023-09-12,Shoulder Press (Dumbbell),10,10.0,1.0
2023-09-12,Shoulder Press (Dumbbell),5,8.0,1.0
2023-09-12,Shoulder Press (Dumbbell),5,8.0,1.0
2023-09-12,Bench Fly'S (Dumbbells),7,8.0,1.0
2023-09-12,Bench Fly'S (Dumbbells),10,6.0,1.0
2023-09-12,Bench Fly'S (Dumbbells),7,10.0,1.0
2023-09-12,Anchored Barbell Shoulder Press,20,12.0,1.0
2023-09-12,Anchored Barbell Shoulder Press,30,8.0,1.0
2023-09-12,Anchored Barbell Shoulder Press,5,8.0,1.0
2023-09-12,Anchored Barbell Shoulder Press,35,8.0,1.0
2023-09-12,Tricep Extensions,25,8.0,1.0
2023-09-12,Tricep Extensions,75,4.0,1.0
2023-09-12,Tricep Extensions,25,8.0,1.0
2023-09-12,Tricep Extensions,75,5.0,1.0
2023-09-14,Rows,25,7.0,1.0
2023-09-14,Rows,25,7.0,1.0
2023-09-14,Rows,25,7.0,1.0
2023-09-14,Rows,20,10.0,1.0
2023-09-14,Deadlifts,50,10.0,1.0
2023-09-14,Deadlifts,70,8.0,1.0
2023-09-14,Deadlifts,80,6.0,1.0
2023-09-14,Deadlifts,70,8.0,1.0
2023-09-14,Bicep Curl,6,8.0,1.0
2023-09-14,Bicep Curl,10,7.0,1.0
2023-08-17,Squats,30,8.0,1.0
2023-08-17,Squats,40,8.0,1.0
2023-08-17,Squats,50,4.0,1.0
2023-08-17,Bulgarian Split Squats,6,8.0,1.0
2023-08-17,Bulgarian Split Squats,6,8.0,1.0
2023-08-17,Bulgarian Split Squats,8,8.0,1.0
2023-08-17,Sit Ups Bench,5,,
2023-08-17,Smith Machine Calf Raises,40,8.0,1.0
2023-08-17,Smith Machine Calf Raises,50,10.0,1.0
2023-08-17,Smith Machine Calf Raises,50,10.0,1.0
2023-09-18,Bench Press,40,8.0,1.0
2023-09-18,Bench Press,50,2.0,1.0
2023-09-18,Bench Press,55,1.0,1.0
2023-09-18,Bench Press,50,1.0,1.0
2023-09-18,Shoulder Press (Barbell),20,8.0,1.0
2023-09-18,Shoulder Press (Barbell),25,8.0,1.0
2023-09-18,Shoulder Press (Barbell),25,8.0,1.0
2023-09-18,Pectoral Fly,35,8.0,1.0
2023-09-18,Pectoral Fly,5,8.0,1.0
2023-09-18,Pectoral Fly,35,8.0,1.0
2023-09-18,Pectoral Fly,35,8.0,1.0
2023-09-18,Lateral Raises,6,8.0,1.0
2023-09-18,Lateral Raises,6,8.0,1.0
2023-09-18,Lateral Raises,6,8.0,1.0
2023-09-18,Lateral Raises,6,8.0,1.0
2023-09-19,Lat Pull Down,75,8.0,1.0
2023-09-19,Lat Pull Down,5,8.0,1.0
2023-09-19,Lat Pull Down,75,8.0,1.0
2023-09-19,Lat Pull Down (Narrow Grip),75,8.0,1.0
2023-09-19,Lat Pull Down (Narrow Grip),5,8.0,1.0
2023-09-19,Narrow Grip Cable Row,5,12.0,1.0
2023-09-19,Narrow Grip Cable Row,5,7.0,1.0
2023-09-19,Narrow Grip Cable Row,5,5.0,1.0
2023-09-19,Face Pulls,7,12.0,1.0
2023-09-19,Face Pulls,5,12.0,1.0
2023-09-19,Face Pulls,15,8.0,1.0
2023-09-19,Lower Back Contraption,5,10.0,1.0
2023-09-19,Lower Back Contraption,10,10.0,1.0
2023-09-19,Shrugs,20,8.0,1.0
2023-09-19,Bicep Curls Cable,75,8.0,1.0
2023-09-19,Bicep Curls Cable,25,8.0,1.0
2023-09-19,Bicep Curls Cable,25,8.0,1.0
2023-09-21,Squats,30,8.0,1.0
2023-09-21,Squats,40,8.0,1.0
2023-09-21,Squats,50,6.0,1.0
2023-09-21,Squats,55,2.0,1.0
2023-09-21,Squats,60,2.0,1.0
2023-09-21,Lunges,20,5.0,1.0
2023-09-21,Lunges,25,6.0,1.0
2023-09-21,Seated Leg Curl (1 Leg),5,10.0,1.0
2023-09-21,Hip Thrust Machine,10,8.0,1.0
2023-09-21,Hip Thrust Machine,50,5.0,1.0
2023-09-24,Incline Dumbbell Press,14,8.0,1.0
2023-09-24,Incline Dumbbell Press,16,8.0,1.0
2023-09-24,Incline Dumbbell Press,16,6.0,1.0
2023-09-24,Incline Dumbbell Press,16,9.0,1.0
2023-09-24,Arnold Press,10,10.0,1.0
2023-09-24,Arnold Press,5,8.0,1.0
2023-09-24,Arnold Press,5,8.0,1.0
2023-09-24,Decline Bench Press,20,8.0,1.0
2023-09-24,Decline Bench Press,40,8.0,1.0
2023-09-24,Narrow Grip (Chest Press),30,8.0,1.0
2023-09-24,Narrow Grip (Chest Press),35,8.0,1.0
2023-09-24,Narrow Grip (Chest Press),40,3.0,1.0
2023-09-24,Lateral Raises,6,8.0,1.0
2023-09-24,Lateral Raises,6,8.0,1.0
2023-09-24,Lateral Raises,8,6.0,1.0
2023-09-24,Tricep Extensions,75,2.0,1.0
2023-09-25,Deadlifts,50,8.0,1.0
2023-09-25,Deadlifts,70,8.0,1.0
2023-09-25,Deadlifts,80,8.0,1.0
2023-09-25,Deadlifts,90,4.0,1.0
2023-09-25,Bent Over Lateral Raises,5,8.0,1.0
2023-09-25,Bent Over Lateral Raises,6,6.0,1.0
2023-09-25,Bent Over Lateral Raises,6,8.0,1.0
2023-09-25,Bent Over Lateral Raises,6,8.0,1.0
2023-09-25,Bent Over Lateral Raises,5,8.0,1.0
2023-09-25,Bicep Curls,10,10.0,1.0
2023-09-25,Bicep Curls,10,9.0,1.0
2023-09-25,Bicep Curls,10,6.0,1.0
2023-09-26,Squats,30,12.0,1.0
2023-09-26,Squats,40,12.0,1.0
2023-09-26,Squats,50,8.0,1.0
2023-09-26,Squats,50,5.0,1.0
2023-09-26,Romanian Deadlifts,40,12.0,1.0
2023-09-26,Romanian Deadlifts,60,8.0,1.0
2023-09-26,Romanian Deadlifts,60,8.0,1.0
2023-09-26,Cable Crunches,17,8.0,1.0
2023-09-26,Cable Crunches,21,8.0,1.0
2023-09-26,Cable Crunches,75,12.0,1.0
2023-09-29,Bench Press,40,12.0,1.0
2023-09-29,Bench Press,45,8.0,1.0
2023-09-29,Bench Press,40,10.0,1.0
2023-09-29,Dumbbell Fly'S,10,8.0,1.0
2023-09-29,Dumbbell Fly'S,10,8.0,1.0
2023-09-29,Dumbbell Fly'S,10,10.0,1.0
2023-09-29,Lateral Raises (Cables),75,6.0,1.0
2023-09-29,Lateral Raises (Cables),75,6.0,1.0
2023-09-29,Lateral Raises (Cables),75,8.0,1.0
2023-09-30,Deadlifts,60,10.0,1.0
2023-09-30,Deadlifts,70,12.0,1.0
2023-09-30,Deadlifts,70,10.0,1.0
2023-09-30,Deadlifts,70,8.0,1.0
2023-09-30,Iso Lateral Rows,20,10.0,1.0
2023-09-30,Iso Lateral Rows,30,8.0,1.0
2023-09-30,Iso Lateral Rows,30,8.0,1.0
2023-09-30,Spider Man Curls,15,12.0,1.0
2023-09-30,Hammer Curls,10,6.0,1.0
2023-09-30,Hammer Curls,10,4.0,1.0
2023-09-30,Hammer Curls,10,5.0,1.0
2023-10-02,Squats,35,12.0,1.0
2023-10-02,Squats,45,10.0,1.0
2023-10-02,Squats,45,10.0,1.0
2023-10-02,Squats,45,4.0,1.0
2023-10-02,Seated Leg Press,5,8.0,1.0
2023-10-02,Seated Leg Press,5,8.0,1.0
2023-10-02,Seated Leg Press,5,8.0,1.0
2023-10-02,Seated Calf Raises,20,12.0,1.0
2023-10-02,Seated Calf Raises,15,12.0,1.0
2023-10-02,Seated Calf Raises,15,10.0,1.0
2023-10-03,Incline Bench Press,30,12.0,1.0
2023-10-03,Incline Bench Press,40,7.0,1.0
2023-10-03,Incline Bench Press,40,7.0,1.0
2023-10-03,Incline Bench Press,40,6.0,1.0
2023-10-03,Barbell Shoulder Press,25,10.0,1.0
2023-10-03,Barbell Shoulder Press,30,2.0,1.0
2023-10-03,Barbell Shoulder Press,25,8.0,1.0
2023-10-03,Side Cable Pulls,25,10.0,1.0
2023-10-03,Side Cable Pulls,75,10.0,1.0
2023-10-03,"Crazy Raises Superset (Front, Sideways, Back)",5,3.0,1.0
2023-10-03,Skull Crusher'S,20,8.0,1.0
2023-10-03,Skull Crusher'S,20,10.0,1.0
2023-10-05,Deadlifts,60,5.0,1.0
2023-10-05,Deadlifts,80,3.0,1.0
2023-10-05,Deadlifts,90,1.0,1.0
2023-10-05,Deadlifts,100,1.0,1.0
2023-10-05,Deadlifts,105,1.0,1.0
2023-10-05,Cable Rows,75,10.0,1.0
2023-10-05,Cable Rows,5,10.0,1.0
2023-10-05,Cable Rows,25,5.0,1.0
2023-10-05,Cable Rows,5,5.0,1.0
2023-10-05,Shrugs,10,8.0,1.0
2023-10-05,Shrugs,15,8.0,1.0
2023-10-05,Shrugs,20,8.0,1.0
2023-10-05,Bicep Curl,8,8.0,1.0
2023-10-05,Bicep Curl,10,8.0,1.0
2023-10-05,Bicep Curl,5,3.0,1.0
2023-10-08,Squats,40,5.0,1.0
2023-10-08,Squats,60,1.0,1.0
2023-10-08,Squats,70,1.0,1.0
2023-10-08,Linear Leg Press,20,12.0,1.0
2023-10-08,Linear Leg Press,25,6.0,1.0
2023-10-08,Linear Leg Press,30,8.0,1.0
2023-10-08,Linear Leg Press,35,9.0,1.0
2023-10-08,Linear Leg Press,45,2.0,1.0
2023-10-08,Leg Extensions,5,12.0,1.0
2023-10-08,Leg Extensions,5,12.0,1.0
2023-10-08,Leg Extensions,20,12.0,1.0
2023-10-08,Ab Machine,8,8.0,1.0
2023-10-08,Ab Machine,8,6.0,1.0
2023-10-08,Smithing Machine Calf Raises,50,10.0,1.0
2023-10-08,Smithing Machine Calf Raises,70,4.0,1.0
2023-10-08,Smithing Machine Calf Raises,60,10.0,1.0
2023-11-28,Bench Press,40,8.0,1.0
2023-11-28,Bench Press,40,8.0,1.0
2023-11-28,Bench Press,40,8.0,1.0
2023-11-28,Shoulder Press (Barbell),20,8.0,1.0
2023-11-28,Shoulder Press (Barbell),25,8.0,1.0
2023-11-28,Shoulder Press (Barbell),25,8.0,1.0
2023-11-28,Pectoral Fly,35,8.0,1.0
2023-11-28,Pectoral Fly,5,8.0,1.0
2023-11-28,Pectoral Fly,5,4.0,1.0
2023-11-28,Lateral Raises,5,10.0,1.0
2023-11-28,Lateral Raises,5,10.0,1.0
2023-11-28,Lateral Raises,5,10.0,1.0
2023-11-29,Deadlifts,60,8.0,1.0
2023-11-29,Deadlifts,60,8.0,1.0
2023-11-29,Deadlifts,70,5.0,1.0
2023-11-29,Deadlifts,70,5.0,1.0
2023-11-29,Bicep Curl,8,6.0,1.0
2023-11-29,Bicep Curl,10,8.0,1.0
2023-11-29,Bicep Curl,10,8.0,1.0
2023-11-29,Bicep Curl,10,8.0,1.0
2023-12-02,Squats,40,8.0,1.0
2023-12-02,Squats,45,8.0,1.0
2023-12-02,Squats,45,8.0,1.0
2023-12-02,Squats,50,8.0,1.0
2023-12-02,Leg Extension,35,8.0,1.0
2023-12-02,Leg Extension,35,8.0,1.0
2023-12-02,Leg Extension,35,8.0,1.0
2023-12-02,Leg Extension,5,8.0,1.0
2023-12-02,Seated Leg Curl,35,8.0,1.0
2023-12-02,Seated Leg Curl,35,8.0,1.0
2023-12-02,Seated Leg Curl,5,8.0,1.0
2023-12-02,Seated Calf Raises,15,10.0,1.0
2023-12-02,Seated Calf Raises,15,10.0,1.0
2023-12-02,Seated Calf Raises,15,10.0,1.0
2023-12-04,Bench Press,40,8.0,1.0
2023-12-04,Bench Press,40,8.0,1.0
2023-12-04,Bench Press,40,8.0,1.0
2023-12-04,Shoulder Press (Barbell),25,8.0,1.0
2023-12-04,Shoulder Press (Barbell),5,8.0,1.0
2023-12-04,Shoulder Press (Barbell),25,8.0,1.0
2023-12-04,Pectoral Fly,35,8.0,1.0
2023-12-04,Pectoral Fly,5,8.0,1.0
2023-12-04,Pectoral Fly,5,8.0,1.0
2023-12-04,Pectoral Fly,35,8.0,1.0
2023-12-04,Lateral Raises,5,8.0,1.0
2023-12-04,Lateral Raises,5,8.0,1.0
2023-12-04,Lateral Raises,6,8.0,1.0
2023-12-04,Lateral Raises,6,8.0,1.0
2023-12-05,Deadlifts,60,8.0,1.0
2023-12-05,Deadlifts,70,8.0,1.0
2023-12-05,Deadlifts,70,8.0,1.0
2023-12-05,Deadlifts,80,4.0,1.0
2023-12-05,Bicep Curl,8,8.0,1.0
2023-12-05,Bicep Curl,8,8.0,1.0
2023-12-05,Bicep Curl,8,8.0,1.0
2023-12-07,Squats,40,8.0,1.0
2023-12-07,Squats,45,10.0,1.0
2023-12-07,Squats,50,10.0,1.0
2023-12-11,Bench Press,40,8.0,1.0
2023-12-11,Bench Press,45,8.0,1.0
2023-12-11,Bench Press,45,8.0,1.0
2023-12-11,Shoulder Press (Barbell),25,8.0,1.0
2023-12-11,Shoulder Press (Barbell),5,8.0,1.0
2023-12-11,Shoulder Press (Barbell),25,8.0,1.0
2023-12-11,Pectoral Fly,35,8.0,1.0
2023-12-11,Pectoral Fly,35,8.0,1.0
2023-12-11,Pectoral Fly,5,8.0,1.0
2023-12-11,Pectoral Fly,5,8.0,1.0
2023-12-11,Lateral Raises,5,8.0,1.0
2023-12-11,Lateral Raises,6,8.0,1.0
2023-12-11,Lateral Raises,6,8.0,1.0
2023-12-11,Lateral Raises,6,8.0,1.0
2023-12-13,Deadlifts,70,8.0,1.0
2023-12-13,Deadlifts,70,8.0,1.0
2023-12-13,Deadlifts,80,8.0,1.0
2023-12-13,Deadlifts,70,8.0,1.0
2023-12-13,Barbell Rows,30,8.0,1.0
2023-12-13,Barbell Rows,30,8.0,1.0
2023-12-13,Barbell Rows,30,8.0,1.0
2023-12-13,Seated Cable Rows,25,8.0,1.0
2023-12-13,Seated Cable Rows,25,8.0,1.0
2023-12-13,Seated Cable Rows,25,8.0,1.0
2023-12-13,Face Pulls,25,8.0,1.0
2023-12-13,Face Pulls,75,12.0,1.0
2023-12-13,Face Pulls,75,12.0,1.0
2023-12-13,Bicep Curls,8,8.0,1.0
2023-12-13,Bicep Curls,10,8.0,1.0
2023-12-13,Bicep Curls,8,8.0,1.0
2023-12-14,Squats,40,8.0,1.0
2023-12-14,Squats,40,8.0,1.0
2023-12-14,Squats,50,8.0,1.0
2023-12-14,Squats,50,8.0,1.0
2023-12-14,Leg Press (50Kg Already Loaded),30,8.0,1.0
2023-12-14,Leg Press (50Kg Already Loaded),40,8.0,1.0
2023-12-14,Leg Press (50Kg Already Loaded),40,8.0,1.0
2023-12-14,Romanian Deadlifts,40,8.0,1.0
2023-12-14,Romanian Deadlifts,45,8.0,1.0
2023-12-14,Romanian Deadlifts,50,8.0,1.0
2023-12-14,Leg Curls,5,8.0,1.0
2023-12-14,Leg Curls,5,8.0,1.0
2023-12-14,Leg Curls,5,8.0,1.0
2023-12-14,Calf Raises,10,10.0,1.0
2023-12-14,Calf Raises,10,10.0,1.0
2023-12-14,Calf Raises,10,10.0,1.0
2023-12-18,Bench Press,40,8.0,1.0
2023-12-18,Bench Press,45,8.0,1.0
2023-12-18,Bench Press,45,8.0,1.0
2023-12-18,Bench Press,40,8.0,1.0
2023-12-18,Seated Shoulder Press (Dumbbells),12,8.0,1.0
2023-12-18,Pectoral Fly,27,8.0,1.0
2023-12-18,Pectoral Fly,32,8.0,1.0
2023-12-18,Pectoral Fly,32,8.0,1.0
2023-12-18,Lateral Raises,5,8.0,1.0
2023-12-18,Lateral Raises,6,8.0,1.0
2023-12-18,Lateral Raises,7,8.0,1.0
2023-12-18,Lateral Raises,7,8.0,1.0
2023-12-18,Lateral Raises,6,12.0,1.0
2023-12-19,Deadlifts,70,8.0,1.0
2023-12-19,Deadlifts,70,8.0,1.0
2023-12-19,Deadlifts,80,8.0,1.0
2023-12-19,Deadlifts,80,8.0,1.0
2023-12-19,Deadlifts,70,8.0,1.0
2023-12-19,Seated Rows,32,8.0,1.0
2023-12-19,Seated Rows,32,8.0,1.0
2023-12-19,Seated Rows,32,8.0,1.0
2023-12-19,Seated Cable Rows,35,8.0,1.0
2023-12-19,Seated Cable Rows,35,8.0,1.0
2023-12-19,Seated Cable Rows,35,8.0,1.0
2023-12-19,Seated Cable Rows,35,8.0,1.0
2023-12-19,Face Pulls,25,8.0,1.0
2023-12-19,Face Pulls,75,12.0,1.0
2023-12-19,Face Pulls,75,12.0,1.0
2023-12-19,Bicep Curls,8,8.0,1.0
2023-12-19,Bicep Curls,8,8.0,1.0
2023-12-19,Bicep Curls,8,8.0,1.0
2023-12-21,Squats,40,8.0,1.0
2023-12-21,Squats,50,8.0,1.0
2023-12-21,Squats,55,8.0,1.0
2023-12-21,Squats,55,8.0,1.0
2023-12-21,Leg Press (50Kg Already Loaded),30,8.0,1.0
2023-12-21,Leg Press (50Kg Already Loaded),40,8.0,1.0
2023-12-21,Leg Press (50Kg Already Loaded),40,8.0,1.0
2023-12-21,At Jd,25,8.0,1.0
